編碼,客家語,客語音標,華語詞義/例句,翻譯,備註,詞性1,詞性2,分類
4-267,鑽上鑽下,zon^ shongˇ zon^ haˇ,"來回穿梭。
例如：毋好在桌下鑽上鑽下，去別位賞！",不要在桌子下來回穿梭，去別的地方玩！,,動詞,,4外在活動與動作
4-268,轉身,zheen^ shinˇ,"轉過身子。
例如：間房恁狹，轉身都難，討仰子蹛人！",房間這麼窄，都沒辦法轉身，要怎麼住人！,,動詞,,4外在活動與動作
4-269,裝便,zongˇ pien,"事先做好。
例如：包袱先裝便，毋好到時務緊拚拚。",行李事先收拾好，別到時急急忙忙的。,,動詞,,4外在活動與動作
4-270,撙,zun^/zun,扭轉、轉動，例如「撙緪」、「撙時鐘」。,"轉緊。
上緊時鐘的發條。",,動詞,,4外在活動與動作
4-271,舂,zhungˇ,"用杵臼搗物；鈍擊。
例如：舂米。
例如：毋好舂人，會傷着人。","舂米。
不可搥人，會傷到人。",,動詞,,4外在活動與動作
4-272,鑽來鑽去,zon^ loiˋ zon^ kui^,"鑽來鑽去。
例如：北迴鐵路經過真多山，火車在磅空內底鑽來鑽去。",北迴鐵路經過很多山，火車在山洞裡鑽來鑽去。,,動詞,,4外在活動與動作
4-273,濾水,li fi^,"把水分過濾掉，可以用在濾粄、濾豆腐。
例如：鹹菜對醃缸底撈出來个時，愛先濾水一下。",鹹菜從醃缸裡撈出來的時候，要先把水分過濾一下。,,動詞,,4外在活動與動作
4-274,𢼛薰屎,kogˋ funˇ shi^,"輕敲菸斗或紙菸條使菸灰掉落。
例如：毋好在這𢼛薰屎，去垃圾桶遐裡𢼛。",別在這裡敲菸灰，去垃圾桶那邊敲。,,動詞,,4外在活動與動作
4-275,加添,gaˇ teemˇ,"添加、增加。
例如：一張桌先囥兩罐酒，毋罅正加添。",一張桌先放兩瓶酒，不夠再加。,,動詞,,4外在活動與動作
4-276,倒頭栽,doo^ teuˋ zaiˇ,"身體向後仰倒下，頭部著地。
例如：凳毋好按坐，等下毋堵好若倒頭栽，頭那即會敋着傷。",不要這樣坐椅子，等會兒若不小心後仰摔倒，頭就會摔傷。,,動詞,,4外在活動與動作
4-277,此腔無此詞條,,,,,,,
4-278,此腔無此詞條,,,,,,,
4-279,無目神,moˋ hmˊ shinˋ,眼神呆滯。,,,形容詞,,4外在活動與動作
4-280,硬命,ngang miang,命格硬。,,,形容詞,,4外在活動與動作
4-281,箭風,zien^ fungˇ,逆着風（前進）。,,,動詞,,4外在活動與動作
4-282,橫莫,bbangˋ mai^,丟擲，有丟出的動作。,,,動詞,,4外在活動與動作
4-283,此腔無此詞條,,,,,,,
4-284,此腔無此詞條,,,,,,,
4-285,此腔無此詞條,,,,,,,
5-1,樹椏,shi bbaˇ,樹木歧生出的岔枝。,,,名詞,,5生物
5-2,暴穎,bogˋ inn^,"植物長出新芽。
例如：落雨過後，這頭老樹又暴穎啊。",下雨過後，這棵老樹又長出新芽了。,,動詞,,5生物
5-3,竻波,ledˊ pooˇ,野生草莓。,,,名詞,,5生物
5-4,糙米,coo^ mi^,糙米。,,,名詞,,5生物
5-5,苧麻,chi maˋ,苧麻。,,,名詞,,5生物
5-6,苦蕒,ku^ maˊ,苦萵苣。,,,名詞,,5生物
5-7,釋迦,shidˊ kia,釋迦。,,,名詞,,5生物
5-8,甘杞（枸杞）,gamˇ gi^(geu^ gi^),"枸杞。
例如：燖雞湯加甘杞，湯頭較甜。",煲雞湯加枸杞，湯頭比較甜。,,名詞,,5生物
5-9,茭白筍,giooˊ pa sun^,茭白筍。,,,名詞,,5生物
5-10,芥藍菜,goi^ lamˋ coi^,芥藍菜。,,,名詞,,5生物
5-11,月桃（枸薑）,ngiedˋ tooˋ(geu^ giongˇ),月桃。,,,名詞,,5生物
5-12,荷蘭豆,hooˋ lenˋ teu,豌豆。,,,名詞,,5生物
5-13,田豆,teenˋ teu,蠶豆。,,,名詞,,5生物
5-14,紫蘇,zi^ suˇ,紫蘇。,,,名詞,,5生物
5-15,菱角,linˋ gooˊ,菱角。,,,名詞,,5生物
5-16,艾菜,ngi^/ngi coi^,茼蒿。,,,名詞,,5生物
5-17,桑子,songˇ zu^,桑葚。,,,名詞,,5生物
5-18,芙蓉,puˋ rhungˋ,芙蓉。,,,名詞,,5生物
5-19,楓樹,pungˇ shi,楓樹。,,,名詞,,5生物
5-20,蝦公夾,haˋ gungˇ giabˋ,鬼針草。,,,名詞,,5生物
5-21,蕹菜,bbung^ coi^,空心菜。,,,名詞,,5生物
5-22,秥米,zhiamˇ mi^,在來米。,,,名詞,,5生物
5-23,燥确确,zauˇ kogˋ kogˋ,"指植物，草木缺少水分，沒有光澤的樣子；另可說「燥絲燥絲」。
例如：真久無落雨，滿哪位都燥确确。",很久沒下雨，到處都乾枯枯的。,,形容詞,,5生物
5-24,蒂頭,di teuˋ,"果實之蒂。
例如：食竻波个時，蒂頭愛捋莫。",吃草莓時，蒂要摘掉。,,名詞,,5生物
5-25,菜籽,coi^ zi^,青菜的種子。,,,名詞,,5生物
5-26,樹頭,shi teuˋ,樹的根部，也可指木頭。例「刻樹頭」。,雕刻木頭。,,名詞,,5生物
5-27,竹笐,zhuˊ gongˋ,竹筒，竹子節與節間的中空部分。,,,名詞,,5生物
5-28,此腔無此詞條,,,,,,,
5-29,禾串,bbooˋ cheen^,"稻穗。
例如：這細子自細就恁顧家，䀴人割禾，佢就屎朏背跈在撿禾串。",這小孩子從小就那麼懂得持家，看人家割稻子，他就在人家屁股後面跟著撿拾稻穗。,,動詞,,5生物
5-30,冇穀,pang^ guˊ,"穀粒空虛不實。飽滿者稱「精穀」。
例如：冇穀無米，割落來嘛無路用。",空虛不實的穀粒沒有米，割了也沒用。,,名詞,,5生物
5-31,冇冇,pang^ pang^,"形容物體不飽滿、不紮實，亦可引申為做人不實在。飽滿則為「精精」，專指穀物。
例如：這半年來洘旱，這冬个穀做下冇冇，作穡人實在辛苦。",這半年以來鬧旱災，這季的稻穀都不飽滿，農夫真是辛苦。,,形容詞,,5生物
5-32,递藤,tai^ tenˋ,"藤類植物莖葉蔓生。
例如：雷公根會递藤，逐目都會生葉、開花、打子，递到滿哪位攏係。",雷公根會蔓生，生長點都會長葉、開花、結果，蔓延得到處都是。,,動詞,,5生物
5-33,豆腐頭,teu fu teuˋ,豆渣。,,,名詞,,5生物
5-34,胞衣,bauˇ rhiˇ,胎盤。,,,名詞,,5生物
5-35,腹內,buˊ nui,指動物的內臟。,,,名詞,,5生物
5-36,此腔無此詞條,,,,,,,
5-37,雞紅（雞血）,geˇ fungˋ (geˇ fiedˊ),雞血。,,,名詞,,5生物
5-38,雞核,geˇ fudˋ,雞睪丸。,,,名詞,,5生物
5-39,雞胗,geˇ kinˇ,雞的胃。,,,名詞,,5生物
5-40,雞公,geˇ gungˇ,公雞。,,,名詞,,5生物
5-41,雞牯,geˇ gu^,雄雞、小公雞。,,,名詞,,5生物
5-42,雞公髻,geˇ gungˇ gi^,雞冠。,,,名詞,,5生物
5-43,雞僆子,geˇ lonˆ zu^,小母雞，尚未生蛋的雌雞。,,,名詞,,5生物
5-44,雞么,geˇ iaunn,小雞。,,,名詞,,5生物
5-45,閹雞,iamˇ/rhiamˇ geˇ,閹雞，去勢後的雞。,,,名詞,,5生物
5-46,水牛牯,fi^ ngiuˋ gu^,公水牛。,,,名詞,,5生物
5-47,膨尾鼠,pong^ muiˇ chi^,松鼠。,,,名詞,,5生物
5-48,錢鼠（咭唎鼠）,cienˋ chi^ (zidˋ li chi^),臭鼩。,,,名詞,,5生物
5-49,長頸鹿,chongˋ giang^ lu,長頸鹿。,,,名詞,,5生物
5-50,熊,himˋ,熊。,,,名詞,,5生物
5-51,龜殼花,guiˇ kooˊ faˇ,龜殼花。,,,名詞,,5生物
5-52,禽獸,kimˋ shiu^,"原指禽獸，常用以比喻失去人性的人。
例如：人和禽獸無共款个所在，即係人有文明。
例如：比禽獸猶較慘！㓾死人毋知差。　","人和禽獸不一樣的地方，就是人有文明。
比禽獸還糟糕！殺死人不知錯。　",,名詞,,5生物
5-53,共藪,kung seu^,同一窩。,,,形容詞,,5生物
5-54,毛蟹（老蟹）,moˋ he^(loo^ he^),螃蟹。,,,名詞,,5生物
5-55,黃鱔,bbongˋ sheenˇ,黃鱔。,,,名詞,,5生物
5-56,鰓,saiˇ,魚的呼吸器官、鰓。,,,名詞,,5生物
5-57,湖蜞,fuiˋ kiˋ,水蛭，水中吸血蟲。,,,名詞,,5生物
5-58,鰗鰍（湖鰡）,fuˋ ciuˇ(bbuˋ liuˇ),泥鰍。,,,名詞,,5生物
5-59,做藪,zoo^ seu^,築巢。,,,動詞,,5生物
5-60,貓頭鳥,ngiau^ teuˋ deeu^,貓頭鷹。,,,名詞,,5生物
5-61,白卵鷥,pa lon^ siˇ,白鷺鷥、白鶴。,,,名詞,,5生物
5-62,阿啾箭,aˇ ziuˋ zien,烏鶖、大卷尾鳥。,,,名詞,,5生物
5-63,鵓鴣,pu guˇ,斑鳩。,,,名詞,,5生物
5-64,山阿鵲,sanˇ aˇ siaˊ,喜鵲。,,,名詞,,5生物
5-65,蝠婆,bidˊ pooˋ,蝙蝠。,,,名詞,,5生物
5-66,赤龍公（狗嫲蛇）,chaˊ liungˋ gungˇ (geu^ maˋ shaˋ),蜥蜴。,,,名詞,,5生物
5-67,赤龍公,chaˊ liungˋ gungˇ,攀木蜥蜴。,,,名詞,,5生物
5-68,牛角牯,ngiuˋ gooˊ gu^ ,天牛。,,,名詞,,5生物
5-69,蟬,shiamˋ/hiamˋ,蟬。,,,名詞,,5生物
5-70,紅烏蠅,fungˋ bbuˇ rhinˋ,紅頭蒼蠅。,,,名詞,,5生物
5-71,蛘蜺,rhiongˋ niˋ,蜻蜓。,,,名詞,,5生物
5-72,水蛘蜺,fi^ rhiongˋ niˋ,豆娘，水蜻蜓。,,,名詞,,5生物
5-73,竹筍蛄,zhuˊ sun^ guˇ,台灣大象鼻蟲。,,,名詞,,5生物
5-74,金蛄仔,gimˇ guˇ aˋ,金龜子。,,,名詞,,5生物
5-75,火焰蟲,foo^ rhiam chungˋ,螢火蟲。,,,名詞,,5生物
5-76,烏蚊,bbuˇ munˇ,"竹林、樹林、草叢裡的小型蚊蚋，會吸血的黑頭蚊。
例如：烏蚊細罔細，得佢叮着即會真癢。",蚊蚋小雖小，被牠叮了可是會很癢。,,名詞,,5生物
5-77,鴨嫲屎𧊅,abˊ maˋ shi^ guai^,蝌蚪。,,,名詞,,5生物
5-78,㪐殼,ludˊ kooˊ,脫殼，可用於植物或昆蟲等脫殼行為。例如「蟬㪐殼」。,蟬脫殼。,,動詞,,5生物
5-79,絕種,ciedˋ zhungˆ,"絕種、滅絕。
例如：愛教細子加講客事，客事正毋會絕種。",要教小孩子多說客家話，客家話才不會滅絕。,,動詞,,5生物
5-80,降,giungˇ,"稱動物生子。
例如：佢供个遐隻狗降十外隻狗么，你討捉幾下隻轉去供無？",他養的那隻狗生了十幾隻小狗，你要不要捉幾隻回去養？,,動詞,,5生物
5-81,雙胞卵（雙降）,sungˇ bauˇ lon^(sungˇ giungˇ),"雙胞胎，出生前的稱呼。
例如：厥新婦食肚恁大粒，驚會係雙胞卵哦！
",他的媳婦肚子那麼大，恐怕是雙胞胎喲！,,名詞,,5生物
5-82,狺狺咈,gainn gainn bui^,"狗哀叫聲。
例如：狗个腳得車絞着，狺狺咈飆一路走。",狗的腳被車子壓到，哀哀叫跑走。,,虛詞,,5生物
5-83,嘴落,zhe^ labˊ,牲畜用的口罩。,,,名詞,,5生物
5-84,骨輪,gudˊ lunˋ ,動物腿上關節的骨頭。,,,動詞,,5生物
5-85,此腔無此詞條,,,,,,,
5-86,啄人,duˊ nginˋ,"啄人。
例如：捉雞么个時，雞嫲會啄人。",捉小雞時，母雞會啄人。,,動詞,,5生物
5-87,罔嘮,mong^ looˇ,"姑且咬啄，引申為試試運氣。
例如：尋頭路愛鴨嫲嘴罔嘮，盡量去試，正會有機會。",找工作要試試運氣，盡量去試，才會有機會。,,動詞,,5生物
5-88,此腔無此詞條,,,,,,,
6-1,半寒熱,ban^ honˋ ngiedˋ,"指不冷不熱的天氣。
例如：像今日這種半寒熱个天氣，做田个事頭好。",像今天這種不冷不熱的天氣，做田裡的工作最好。,,名詞,,6自然與景觀
6-2,崩崗石壁,benˇ gongˇ sha biaˊ,懸崖峭壁。,,,形容詞,,6自然與景觀
6-3,青狂雨,ciangˇ kongˋ bbu^,"颱風前，忽下忽停的陣雨。
例如：落青狂雨啊，一下子落一下子歇。",下起颱風前的陣雨，忽下忽停的。,,名詞,,6自然與景觀
6-4,龍捲風,liungˋ guen^ fungˇ,旋風、龍捲風。,,,動詞,,6自然與景觀
6-5,泉水,canˋ fi^,泉水。,,,名詞,,6自然與景觀
6-6,草埔,coo^ buˇ,生滿雜草的荒野地。,,,名詞,,6自然與景觀
6-7,著火,choo foo^,火燒起來了。如「屋下著火」。,房子失火。,,名詞,,6自然與景觀
6-8,臭青,chiu^ ciangˇ,"有生草的味道。
例如：草坪个草正割了，風吹啊來就鼻着臭青味。",草坪的草剛割完，風一吹來就聞到生草的味道。,,動詞,,6自然與景觀
6-9,落屑屑雨,loo sebˊ sebˊ bbu^,"飄毛毛雨。
例如：外頭落屑屑雨，炙在禾埕个衫褲好攔緊去收入來。",外面飄毛毛雨了，晾在晒穀場的衣服得趕快去收進來。,,形容詞,,6自然與景觀
6-10,凍露,dang^ lu^,"物體晚間置於外頭露天處，露水凝結於其上。
例如：晾在外頭个衫褲愛收起來，無會凍露。",晾在外面的衣服要收起來，不然會有露水凝結在上面。,,動詞,,6自然與景觀
6-11,當日,dongˇ ngidˊ,"太陽直射。
例如：企在恁當日个所在，會炙死哦！",站在太陽直射的地方，會晒死啊！,,動詞,,6自然與景觀
6-12,翡翠,fui^ cui^,翡翠。,,,副詞,形容詞,6自然與景觀
6-13,回南,fueˋ namˋ,"颱風眼離開後所颳的南風。
例如：回南啊，颱風討走啊。",颳南風了，颱風要離開了。,,名詞,,6自然與景觀
6-14,火傷猛,foo^ shong/shiong mang^,"火太猛烈。
例如：你个火傷猛啊！魚得你煎到臭火燥。",你的火太猛烈了！魚被你煎到燒焦。,,名詞,,6自然與景觀
6-15,窟,kudˊ,窟窿、窩、坑；窟（量詞）。,,,短語,,6自然與景觀
6-16,輻射線,fuˊ sha sien^,輻射線。,,,名詞,,6自然與景觀
6-17,此腔無此詞條,,,,,,,
6-18,風吹日炙,fungˇ cheˇ ngidˊ zhaˊ,風吹日晒。,,,動詞,,6自然與景觀
6-19,西北雨,seˇ bedˊ bbu^,午後雷陣雨，夏天的一種季節雨，常在午後時分，來得急也去得快。,,,名詞,,6自然與景觀
6-20,風沙,fungˇ saˇ,風沙。,,,名詞,,6自然與景觀
6-21,大風雨,tai fungˇ bbu^,風雨交加。,,,副詞,,6自然與景觀
6-22,合縫,gabˊ pung,"接縫。
例如：無共年起个屋，合縫會洩水。",不同年蓋的房子，接縫處會滲水。,,名詞,,6自然與景觀
6-23,黏泥（泥肉泥）,neemˋ niˋ(niˋ ngiuˊ niˋ),屬黏土的土質，多用來燒陶瓷器用。因而也可稱為「缶仔泥」。,,,名詞,,6自然與景觀
6-24,漕大雨,coo tai bbu^,"傾盆大雨。
例如：下班个時務堵着漕大雨，一下歸身涿到溼潦潦。",下班的時候遇上傾盆大雨，一下子全身淋得溼透。,,名詞,,6自然與景觀
6-25,起風,ki^ fungˇ,開始颳風。,,,動詞,,6自然與景觀
6-26,嗋石（吸石）,hiabˋ sa (kibˊ sha),磁石，磁鐵。,,,名詞,,6自然與景觀
6-27,鳴雷公,miangˋ luiˋ gungˇ,"打雷。
例如：𥍉爧過後，跈个會鳴雷公。",閃電過後，接著會打雷。,,動詞,,6自然與景觀
6-28,好天好時,hoo^ teenˇ hoo^ shiˋ,"好天氣。
例如：好天好時討做事就攔緊，毋好歸日藏在屋下底。",好天氣要工作就趕快，別整天在家裡躲著。,,副詞,,6自然與景觀
6-29,煆着,hann^ choo,"被熱氣燙到、薰著。
例如：炊粄遐下，掀籠床愛細義，莫得佢煆着。",蒸糕點的時候，掀蒸籠要小心，別被熱氣燙到。,,動詞,,6自然與景觀
6-30,寒颼颼,honˋ siuˇ siuˇ,"冷颼颼的。
例如：外頭落雨又寒颼颼，無必要就莫出去！",外面下雨又冷颼颼的，非必要就別出去呀！,,形容詞,,6自然與景觀
6-31,雨淋雨涿,bbu^ limˋ bbu^ duˊ,"受雨水滴淋。
例如：落雨天，安全帽毋好囥在外頭雨淋雨涿，會生菇。",下雨天，安全帽別放在外面受雨水滴淋，會發霉。,,動詞,,6自然與景觀
6-32,雨浘,bbu^ mui^,"毛毛雨。
例如：雨浘越落越粗，頭那毛就會涿到溼溼。",毛毛雨越下越大，頭髮都淋溼了。,,名詞,,6自然與景觀
6-33,隕石,bbin^ sha,隕石。,,,名詞,,6自然與景觀
6-34,箭日,zien^ ngidˊ,"形容陽光直射的樣子。
例如：窗門下恁箭日，莫在遐裡坐。",窗下陽光直射，別在那裡坐。,,動詞,,6自然與景觀
6-35,崁下,kam^ haˇ,崖下。,,,名詞,,6自然與景觀
6-36,絞風,gau^ fungˇ,"被風吹到表皮乾枯。
例如：你面絞風絞到恁粗，愛抹一兜仔面油，正毋會必哦。",你的臉被風吹得這麼粗糙，要擦點乳液，才不會龜裂喔。,,動詞,,6自然與景觀
6-37,牽絲,kienˇ siˇ,"蜘蛛結網；食物發霉，長出的絲狀物；食物拉長而見絲狀。
例如：粄挾起來若會牽絲，即係壞去啊。",米做成的糕點挾起來若是有絲狀物，就是壞掉了。,,動詞,,6自然與景觀
6-38,環保,kuanˋ boo^,環保。,,,名詞,,6自然與景觀
6-39,爛泥膏,lan niˋ gooˇ,泥巴稀爛的樣子。,,,形容詞,,6自然與景觀
6-40,濫地,nam ti,"爛泥地、沼澤。
例如：這坵田係濫地，耕田愛注意莫塌落去。",這畝田是沼澤，整田要小心別陷下去。,,名詞,,6自然與景觀
6-41,落雹,loo poo,下冰雹。,,,動詞,,6自然與景觀
6-42,窿,lungˋ,隧道、洞穴。例如「火車過窿」。,火車過隧道。,,名詞,,6自然與景觀
6-43,無槵籽,bba bbui ziˋ,無患子樹。,,,名詞,,6自然與景觀
6-44,泥漿,niˋ ziongˇ,泥漿。,,,名詞,,6自然與景觀
6-45,𥍉爧,ngiabˋ le^/len^,閃電。,,,名詞,,6自然與景觀
6-46,日頭雨,ngidˊ teuˋ bbu^,"太陽雨。
例如：落一陣日頭雨過後，天崠出虹啊。",下一陣太陽雨過後，天上出現彩虹了。,,名詞,,6自然與景觀
6-47,日頭花,ngidˊ teuˋ faˇ,"雲縫中灑下的陽光。
例如：趁這滿猶有日頭花，衫褲提出去炙炙。",趁現在還有些陽光，衣服拿出去晒一晒。,,名詞,,6自然與景觀
